RowNumber,CustomerId,First Name,Second Name,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,HasCrCard
1,15634602,Ella,Elsa,619,Pahang,Female,42,2,0,1,1,101348.88,1
2,15647311,Hiza,Hiza,608,Johor,Female,41,1,83807.86,1,1,112542.58,0
3,15619304,Mila,Fiza,502,Kelantan,Female,42,8,159660.8,3,0,113931.57,1
4,15701354,Tia,Salma,699,Johor,Female,39,1,0,2,0,93826.63,0
5,15737888,Nisha,Rose,850,Selangor,Female,43,2,125510.82,1,1,79084.1,1
6,15574012,Ramzi ,Ramzi ,645,Pahang,Male,44,8,113755.78,2,0,149756.71,1
7,15592531,Syamsul,Amin,822,Johor,Male,50,7,0,2,1,10062.8,1
8,15656148,Fiza,Rose,376,Selangor,Female,29,4,115046.74,4,0,119346.88,1
9,15792365,Rafi,Tariq ,501,Kelantan,Male,44,4,142051.07,2,1,74940.5,0
10,15592389,Zaid,Syamsul,684,Pahang,Male,27,2,134603.88,1,1,71725.73,1
11,15767821,Amri,Ramzi ,528,Kelantan,Male,31,6,102016.72,2,0,80181.12,0
12,15737173,Imran ,Fauzi ,497,Kelantan,Male,24,3,0,2,0,76390.01,1
13,15632264,Zainab,Fiza,476,Pahang,Female,34,10,0,2,0,26260.98,1
14,15691483,Asha ,Hawa,549,Pahang,Female,25,5,0,2,0,190857.79,0
15,15600882,Ella,Lela,635,Kelantan,Female,35,7,0,2,1,65951.65,1
16,15643966,Rafi,Amri,616,Selangor,Male,45,3,143129.41,2,1,64327.26,0
17,15737452,Imran ,Ghani ,653,Pahang,Male,58,1,132602.88,1,0,5097.67,1
18,15788218,Tia,Zainab,549,Kelantan,Female,24,9,0,2,1,14406.41,1
19,15661507,Zaid,Daniel,587,Selangor,Male,45,6,0,1,0,158684.81,0
20,15568982,Jolie,Mila,726,Kelantan,Female,24,6,0,2,1,54724.03,1
21,15577657,Hasan ,Umar ,732,Selangor,Male,41,8,0,2,1,170886.17,1
22,15597945,Dania,Dania,636,Selangor,Female,32,8,0,2,0,138555.46,1
23,15699309,Dwi,Bella,510,Kelantan,Female,38,4,0,1,0,118913.53,1
24,15725737,Tariq ,Tariq ,669,Kelantan,Male,46,3,0,2,1,8487.75,0
25,15625047,Zara,Lela,846,Kelantan,Female,38,5,0,1,1,187616.16,1
26,15738191,Zaid,Umar ,577,Selangor,Male,25,3,0,2,1,124508.29,0
27,15736816,Jamil ,Amin,756,Johor,Male,36,2,136815.64,1,1,170041.95,1
28,15700772,Ramli ,Rafi,571,Selangor,Male,44,9,0,2,0,38433.35,0
29,15728693,Salma,Nisha,574,Selangor,Female,43,3,141349.43,1,1,100187.43,1
30,15656300,Daud ,Fauzi ,411,Selangor,Male,29,0,59697.17,2,1,53483.21,1
31,15589475,Dwi,Zainab,591,Johor,Female,39,3,0,3,0,140469.38,1
32,15706552,Umar ,Amin,533,Kelantan,Male,36,7,85311.7,1,1,156731.91,0
33,15750181,Ramli ,Sadiq ,553,Kelantan,Male,41,9,110112.54,2,0,81898.81,0
34,15659428,Asha ,Latifa,520,Johor,Female,42,6,0,2,1,34410.55,1
35,15732963,Dwi,Nisha,722,Pahang,Female,29,9,0,2,1,142033.07,1
36,15794171,Dania,Jolie,475,Selangor,Female,45,0,134264.04,1,0,27822.99,1
37,15788448,Daniel,Imran ,490,Pahang,Male,31,3,145260.23,1,1,114066.77,0
38,15729599,Khairul,Rafi,804,Pahang,Male,33,7,76548.6,1,1,98453.45,0
39,15717426,Tariq ,Umar ,850,Kelantan,Male,36,7,0,1,1,40812.9,1
